,index,review_EN,sentiment,reviewer
0,3,"Best employer ever. Worked there for approximately 4 years. The time of my life, bringing hatching eggs to Kalecik, Turkey.
Never a complaint about salary; they simply paid everything. I'm still sorry that I left, after being robbed in Austria.",,
1,4,better place with very good people everything is perfect,,
2,5,Nice,,
3,6," Good firm. The staff are very welcoming and friendly. Thanks for the positive vibes!!!

",,
4,7," Top company, and coffee, so recommended

",,
5,8," A very neat company with professional people who know what they are doing. I was allowed to drive there for 4 weeks before the corona broke out. Unfortunately, Mr. Hans Dekkers could no longer keep me working, think back with melancholy to that short but oh so beautiful time. Hope they last through this rotten corona time.

",,
6,9," Friendly staff and quickly released

",,
7,10," Very pleasant experience, very pleasant and helpful staff.

",,
8,11," Code 95 done here via driving school Tilburg, is also located here

",,
9,12," Very bad how these people interact with others. Even Mr. Dekkers just let it go and does nothing. Don't fall in people

",,
10,13," Super

",,
11,14," I do not recommend it as a truck driver

",,
12,15," Nice transport company specialized in the transport of day-old chicks in Europe, Russia and North Africa

",,
13,16," House environment

",,
14,17,👌👌👌,,
15,18," they are great as a team

",,
16,19," Great class passion for work

",,
17,20," Good company

",,
18,21," Fine company

",,
19,59,"DLS is a professional company with Dedication to their profession. Competitive prices, fast deliveries and very fast replies on communication. If there was a rating higher than 5 starts they would defenitely deserve it!
Review based on customer point of view.",,
20,60," A driver has damaged my car, but unfortunately DLS does not give home. I called this company and indicated exactly from which truck something fell off my car. It can happen that something jumps up from the asphalt, but that would not have happened in that case. I was driving next to the truck and not behind it. An elongated object (a kind of dry-tractor) falls from the truck onto my car, resulting in a dent. The only way to hold this company accountable is with the help of a dashcam.

",,
21,61," Very nice transport company. Always easily accessible, keep appointments, think in solutions and employ drivers who are happy to go the extra mile if necessary.

",,
22,62," this is really a company where you can grow your own business, perfect timing, always available, and always have a solution.

",,
23,63," Super Service, especially thinking along with solutions for transport!
in a word 'SUPER'

",,
24,64," A small company, but very friendly 😀

",,
25,75,I appreciate the clear and efficient on work!,,
26,76,Easy to deal with company...fast loading and unlouding...if the stuff it's ready...toilet shower...no parking space to do long brake...all good..,,
27,77,Problem is waiting loading but stuff is very friendly,,
28,78,Fast and nice people s,,
29,79,"Collection of airfreigt, quick and smart",,
