,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang
0,Caretrex warehousing & logistics,Logistics service,51.5937211,5.0734916,Tilburg,5.0,2.0,HHpDM,0.0,4.0,2 years ago,2022-09-24,5.0,,
1,Caretrex warehousing & logistics,Logistics service,51.5937211,5.0734916,Tilburg,5.0,2.0,dYFWx,0.0,1.0,5 years ago,2022-09-24,5.0,,
2,FEFA Logistics,Trucking company,51.4800739,5.4467637,Eindhoven,,,,,,,,,,
3,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,Pp1)c,0.0,5.0,a year ago,2022-09-24,5.0,"Best employer ever. Worked there for approximately 4 years. The time of my life, bringing hatching eggs to Kalecik, Turkey.
Never a complaint about salary; they simply paid everything. I'm still sorry that I left, after being robbed in Austria.",ENG
4,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,*nk1l,0.0,2.0,a year ago,2022-09-24,5.0,better place with very good people everything is perfect,ENG
5,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,69lOZ,0.0,3.0,4 years ago,2022-09-24,5.0,Nice,ENG
6,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,&7jv4,0.0,27.0,3 months ago,2022-09-24,5.0," Good firm. The staff are very welcoming and friendly. Thanks for the positive vibes!!!

",NOT_ENG
7,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,K2#6M,1.0,24.0,4 months ago,2022-09-24,5.0," Top company, and coffee, so recommended

",NOT_ENG
8,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,xJ(Zc,0.0,1.0,a year ago,2022-09-24,5.0," A very neat company with professional people who know what they are doing. I was allowed to drive there for 4 weeks before the corona broke out. Unfortunately, Mr. Hans Dekkers could no longer keep me working, think back with melancholy to that short but oh so beautiful time. Hope they last through this rotten corona time.

",NOT_ENG
9,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,QGfwK,1.0,36.0,4 months ago,2022-09-24,5.0," Friendly staff and quickly released

",NOT_ENG
10,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,cJHxU,0.0,4.0,9 months ago,2022-09-24,5.0," Very pleasant experience, very pleasant and helpful staff.

",NOT_ENG
11,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,9^Ikf,0.0,1.0,a year ago,2022-09-24,4.0," Code 95 done here via driving school Tilburg, is also located here

",NOT_ENG
12,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,U5jWG,0.0,7.0,2 years ago,2022-09-24,1.0," Very bad how these people interact with others. Even Mr. Dekkers just let it go and does nothing. Don't fall in people

",NOT_ENG
13,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,IGWow,1.0,37.0,a year ago,2022-09-24,5.0," Super

",NOT_ENG
14,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,Em0Qd,1.0,51.0,a year ago,2022-09-24,1.0," I do not recommend it as a truck driver

",NOT_ENG
15,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,T@eui,0.0,7.0,4 years ago,2022-09-24,5.0," Nice transport company specialized in the transport of day-old chicks in Europe, Russia and North Africa

",NOT_ENG
16,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,LFd&v,1.0,241.0,11 months ago,2022-09-24,5.0," House environment

",NOT_ENG
17,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,PB312,0.0,3.0,9 months ago,2022-09-24,5.0,👌👌👌,ENG
18,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,9$yM&,0.0,2.0,a year ago,2022-09-24,5.0," they are great as a team

",NOT_ENG
19,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,f(WGb,1.0,58.0,6 days ago,2022-09-24,5.0," Great class passion for work

",NOT_ENG
20,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,ddXXV,1.0,57.0,a year ago,2022-09-24,4.0," Good company

",NOT_ENG
21,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,UpGKG,1.0,166.0,4 years ago,2022-09-24,5.0," Fine company

",NOT_ENG
22,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,&HA@y,0.0,16.0,2 years ago,2022-09-24,5.0,,
23,Dekkers Transport Holland,Trucking company,51.5972486,5.0279901,Tilburg,4.6,53.0,m3up1,0.0,2.0,2 years ago,2022-09-24,5.0,,
