,Unnamed: 0.1,Unnamed: 0,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang,Negative,Neutral,Positive,Roberta_Sentiment
3,3,475,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,a!eIE,0,18,2020-09-27 21:32:38,2022-09-29,5,Nice,ENG,6.603811681270599,35.44526696205139,57.95091390609741,Positive
4,4,1435,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,x#kZV,1,1773,2017-09-27 21:32:38,2022-09-25,4,Nice,ENG,6.603811681270599,35.44526696205139,57.95091390609741,Positive
6,6,5627,DNA United Forwarders Ltd.,Freight forwarding service,51.5018037,4.7514188,Breda,4.4,81,cIMLn,1,19,2021-09-27 21:32:38,2022-09-23,5,Nice,ENG,6.603811681270599,35.44526696205139,57.95091390609741,Positive
15,15,3076,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,RRCjy,1,181,2019-09-27 21:32:38,2022-09-24,5," Super

",NOT_ENG,9.54107865691185,42.61007308959961,47.84885346889496,Positive
17,17,6057,NUNNER Logistics BV,Trucking company,51.4425821,5.7012394,Helmond,3.8,307,roIIk,0,7,2018-09-27 21:32:38,2022-09-29,5," Super

",NOT_ENG,9.54107865691185,42.61007308959961,47.84885346889496,Positive
25,25,3909,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,f&%cy,1,63,2022-01-25 21:32:38,2022-09-29,5," Good company

",NOT_ENG,1.02441692724824,16.89663231372833,82.07895159721375,Positive
27,27,3426,Van den Broek Logistics BV,Trucking company,51.4663445,5.6826053,Helmond,4.1,104,t38dO,0,5,2020-09-27 21:32:38,2022-09-23,5," Fine company

",NOT_ENG,2.733066864311695,34.55831110477448,62.70862817764282,Positive
44,44,477,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,sCqct,1,38,2022-09-25 21:32:38,2022-09-29,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
45,45,787,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,Hc^^4,1,23,2022-05-28 21:32:38,2022-09-23,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
49,49,3814,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,HVIv0,1,20,2021-09-27 21:32:38,2022-09-29,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
50,50,3816,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,wtagr,0,18,2021-09-27 21:32:38,2022-09-29,1,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
97,97,546,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,a@g#c,0,7,2020-09-27 21:32:38,2022-09-29,5," My job

",NOT_ENG,35.57348549365997,55.24865984916687,9.177853912115097,Neutral
