,0
0,2
1,2
2,10
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,2
23,2
24,2
25,2
26,4
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,4
38,2
39,2
40,2
41,2
42,2
43,4
44,2
45,4
46,2
47,2
48,2
49,2
50,2
51,4
52,2
53,2
54,2
55,2
56,2
57,4
58,10
59,0
60,0
61,0
62,0
63,0
64,0
65,4
66,2
67,2
68,2
69,4
70,2
71,2
72,2
73,2
74,10
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,4
144,2
145,2
146,2
147,4
148,2
149,2
150,4
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,4
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,4
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,3
213,2
214,4
215,2
216,2
217,2
218,4
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,4
232,4
233,2
234,2
235,2
236,2
237,4
238,2
239,2
240,2
241,2
242,4
243,2
244,4
245,2
246,2
247,2
248,4
249,2
250,4
251,2
252,2
253,2
254,4
255,3
256,2
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,2
285,2
286,4
287,2
288,4
289,2
290,2
291,2
292,10
293,10
294,10
295,10
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,2
305,4
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,0
321,0
322,0
323,2
324,2
325,2
326,0
327,0
328,0
329,4
330,2
331,2
332,2
333,10
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,2
383,2
384,2
385,2
386,2
387,2
388,4
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,3
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,4
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,4
429,2
430,4
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,4
439,2
440,2
441,2
442,2
443,2
444,4
445,2
446,2
447,2
448,10
449,0
450,0
451,0
452,2
453,2
454,2
455,2
456,4
457,2
458,2
459,4
460,2
461,2
462,4
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
