,name,city,GD_Name,GD_Med,GD_Act,GD_City,GD_kvk_ref,GD_other_in_list
0,First Logistics B.V.,Nieuwegein,                    First Logistics B.V.                ,27  werknemers,                            Actief sinds                             2018                        ,                                NIEUWEGEIN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['First Logistics B.V.', 'First Logistics B.V.', 'First Logistics Holding B.V.']"
1,Van Spreuwel Transport,Eindhoven,                    Van Spreuwel Transport B.V.                ,118  werknemers,                            Actief sinds                             1997                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van Spreuwel Transport B.V.', 'van Spreuwel Grondwerken & Transport', 'Van Spreuwel Transport B.V.']"
2,NUNNER Logistics BV,Helmond,                    Nunner Logistics B.V.                ,162  werknemers,                            Actief sinds                             1989                        ,                                HELMOND                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Nunner Logistics B.V.', 'NUNNER Logistics WH 18 B.V.', 'NUNNER Logistics WH 20 B.V.', 'NUNNER Logistics WH 19 B.V.', 'NUNNER Logistics Venlo B.V.', 'Nunner Logistics Russia Holding B.V.', 'Nunner Logistics B.V.', 'Nunner Logistics B.V.', 'Nunner Logistics B.V.', 'Nunner Logistics B.V.', 'NUNNER Logistics WH 19 B.V.', 'NUNNER Logistics WH 18 B.V.']"
3,Claassen Logistics,Tilburg,                    Claassen Logistics Meppel B.V.                ,22  werknemers,                            Actief sinds                             2012                        ,                                ROGAT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Claassen Logistics Meppel B.V.']
4,ID Logistics Benelux,Tilburg,                    ID Logistics Benelux B.V.                ,395  werknemers,                            Actief sinds                             2011                        ,                                TILBURG                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ","['ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.', 'ID Logistics Benelux B.V.']"
5,GVT Transport & Logistics Tilburg,Tilburg,                    GVT Transport & Logistics B.V.                ,113  werknemers,                            Actief sinds                             1986                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['GVT Transport & Logistics B.V.', 'GVT Transport & Logistics Apeldoorn B.V.', 'GVT Transport & Logistics Beheer B.V.', 'GVT Transport & Logistics Alkmaar B.V.', 'GVT Transport & Logistics B.V.', 'GVT Transport & Logistics B.V.', 'GVT Transport & Logistics B.V.', 'GVT Transport & Logistics B.V.', 'GVT Transport & Logistics Apeldoorn B.V.']"
6,A2 Logistics,'s-Hertogenbosch,                    A2 Logistics Holding B.V.                ,3  werknemers,                            Actief sinds                             2007                        ,                                Inactief sinds                                 2019                            ,                                'S-HERTOGENBOSCH                            ,"['A2 Logistics Holding B.V.', 'A2 Logistics Engineering B.V.', 'Stichting Administratiekantoor A2 Logistics Holding', 'LenK Logistics', 'Supermaritime Logistics B.V.']"
7,Jan de Rijk Logistics HQ,Roosendaal,                    Jan de Rijk Lease B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             1964                        ,                                ROOSENDAAL                            ,"7712 - Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens                            ","['Jan de Rijk Lease B.V.', 'Jan de Rijk N.V.', 'Jan de Rijk Retail B.V.', 'Jan de Rijk Benelux B.V.', 'Jan de Rijk Service B.V.', 'Jan de Rijk Vastgoed B.V.', 'Jan de Rijk Benelux B.V.', 'Jan de Rijk Intermodal B.V.', 'Jan de Rijk Automotive B.V.', 'Jan de Rijk Freight Solutions B.V.', 'Jan de Rijk Fresh Logistics B.V.', 'Jan de Rijk Contract Logistics B.V.', 'Jan de Ridder', 'Jan de Ridder', 'Jan de Rijlesman', 'Jan de Rie Beheer B.V.', 'Jan de Rijk Air Cargo B.V.', 'Jan de Rijk Assembly B.V.', 'Jan de Ridder Beheer B.V.', 'Jan Derix', 'Jan de Ruiter', 'Jan de Rijk Automotive Verhuur B.V.', 'Jan de Rijk Automotive Warehousing B.V.', 'Jan de Rijk Air Cargo Solutions B.V.', 'Jan der Kinderen', 'Jan de Rijk Integrated Logistics B.V.', 'Jan de Roas Sjongers', 'Jan de Roos Lemmer B.V.', 'janders vloer & wand B.V.', 'Jan de Roo Fotografie', 'Jan de Roos Holding B.V.', 'Jan de Ruiter Beheer B.V.', 'Jan de Roode Holding B.V.', 'Jan de Raaf Beheer B.V.', 'Jan de Roos Materieel B.V.', 'Jan de Ruiter Holding B.V.', 'Jan de Rooij Fotografie', 'Jan Derikx', 'Jan de Wit', 'Jan de Mul', 'Jan de Bie', 'Jan de Rooy Sportcentrum', 'Jander B.V.', 'Jan de Beer', 'Jan de Ruijter Waalwijk B.V.', 'Jan de Heer', 'Jan de Rooij Produkties B.V.', 'Jan de Jong', 'Jan de Beer', 'Jan de Geus']"
8,CTG Logistics BV,Vondelingenplaat,                    CTG Logistics B.V.                ,8  werknemers,                            Actief sinds                             2007                        ,                                VONDELINGENPLAAT RT                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['CTG Logistics B.V.']
9,XPO Logistics (site Tilburg I),Tilburg,                    XPO Logistics International B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2021                        ,                                WIJCHEN                            ,6420 - Financiële holdings                            ,"['XPO Logistics International B.V.', 'XPO Logistics Netherlands B.V.', 'GXO Logistics Holdings B.V.', 'X Polder', 'Xpol B.V.', 'XPoll Beheer B.V.', 'xpooz', 'xpozai', 'XPOR B.V.', 'Xpol Investments B.V.', 'X-po B.V.', 'XpoFM B.V.', 'X-PORE B.V.', 'Xpon Reclame', 'XPOfleet B.V.', 'XportDNA B.V.', 'XPO Screens B.V.', 'XpoConnect B.V.', 'X-PORE MEMBRANES B.V.', 'X-PORE CONSUMER B.V.', 'Xposa', 'xposa', 'XPOS Web Services B.V.', 'xporter', 'Xpoze B.V.', 'X-point', 'Xpozer B.V.', 'XportDNA', 'Xposh LLC', 'X pools B.V.', 'xposers', 'Xponent', 'Xposys V.O.F.', 'Xposers V.O.F.', 'X Point B.V.', 'Xpogreen', 'Xponer B.V.', 'XPO Unlimited Worldwide B.V.', 'Xpoboost B.V.', 'XPOSE', 'Xportwise', 'Xportwise', 'XPO Global Forwarding NETHERLANDS B.V.', 'XpoEvents B.V.', 'XPO.world bv', 'XPO Transport Solutions Netherlands II B.V.', 'XPO Marketing', 'XPO Stands B.V.', 'Xpozer Europe B.V.', 'XPO BUSINESS']"
